accidentDay;district;streetName;accidentType;mainAccidentCause;totalParticipantsAmount;latitude;longitude;Count_Без ушкоджень;Count_Загинув;Count_Легко травмований;Count_Тяжко травмований;Is_Intersection;Year;Month;DayOfWeek;Hour;settlement_grouped;Simple_Type;Simple_Cause
середа;Личаківський;Личаківська;зіткнення бокове;Невідомо;3;49.837124;24.061153;1;0;2;0;0;2017;1;2;11;Львів;Зіткнення автомобілів;Інше
неділя;Шевченківський;Чорновола В., просп.;зіткнення з задньою частиною ТЗ;перевищення безпечної швидкості, недодержання дистанції;6;49.865504;24.016709;1;0;5;0;0;2017;1;6;18;Львів;Зіткнення автомобілів;Перевищення швидкості
четвер;Шевченківський;Чорновола В., просп.;наїзд на пішохода - пішохід рухався у попутному напрямку;Невідомо;2;49.86253;24.018329;1;0;1;0;0;2017;1;3;10;Львів;Наїзд на пішохода;Інше
понеділок;Франківський;Сахарова А., акад.;наїзд на пішохода - пішохід рухався у зустрічному напрямку;перевищення безпечної швидкості, порушення правил проїзду пішохідних переходів;2;49.831817;24.017068;1;0;0;1;0;2017;1;0;15;Львів;Наїзд на пішохода;Перевищення швидкості
понеділок;Сихівський;Зелена;зіткнення бокове;невиконання вимог сигналів регулювання, порушення правил маневрування;2;49.808112;24.061389;1;0;1;0;0;2017;1;0;12;Львів;Зіткнення автомобілів;Порушення маневрування
п'ятниця;Галицький;Дорошенка П.;наїзд на пішохода - на регульованому пішохідному переході;Невідомо;2;49.836848;24.021392;1;0;0;1;0;2017;1;4;10;Львів;Наїзд на пішохода;Інше
п'ятниця;Галицький;Під Дубом;наїзд на пішохода - пішохід рухався у зустрічному напрямку;Невідомо;2;49.850498;24.02247;0;0;2;0;0;2017;1;4;18;Львів;Наїзд на пішохода;Інше
п'ятниця;Галицький;Кропивницького М., пл.;наїзд на пішохода - на регульованому пішохідному переході;Невідомо;2;49.837034;24.004869;1;0;0;1;0;2017;1;4;12;Львів;Наїзд на пішохода;Інше
п'ятниця;Галицький;Стрийська;зіткнення бокове;порушення правил маневрування;3;49.829211;24.032217;1;0;2;0;0;2017;1;4;22;Львів;Зіткнення автомобілів;Порушення маневрування
четвер;Сихівський;Хуторівка;наїзд на пішохода - пішохід рухався у попутному напрямку;Невідомо;2;49.799626;24.026579;1;0;1;0;0;2017;1;3;15;Львів;Наїзд на пішохода;Інше
неділя;Шевченківський;Золота;наїзд на інші види перешкод;перевищення безпечної швидкості;2;49.847752;24.009225;0;0;0;2;0;2017;1;6;17;Львів;Наїзд на перешкоду;Перевищення швидкості
неділя;Сихівський;Зелена;наїзд на інші види перешкод;Невідомо;3;49.796703;24.072697;0;0;0;3;0;2017;1;6;6;Львів;Наїзд на перешкоду;Інше
неділя;Сихівський;Пасічна;зіткнення лобове;виїзд на смугу зустрічного руху;3;49.80628;24.06796;2;0;1;0;0;2017;1;6;20;Львів;Зіткнення автомобілів;Інше
вівторок;Шевченківський;Мазепи І., гетьм.;зіткнення бокове;Невідомо;4;49.869837;24.027412;1;1;2;0;0;2017;1;1;22;Львів;Зіткнення автомобілів;Інше
середа;Галицький;Шептицьких;зіткнення лобове;порушення правил зупинки і стоянки транспортного засобу;2;49.837841;24.009714;1;0;1;0;0;2017;1;2;14;Львів;Зіткнення автомобілів;Інше
четвер;Франківський;Коновальця Є.;зіткнення з задньою частиною ТЗ;Невідомо;3;49.828875;24.000406;2;0;0;1;0;2017;1;3;1;Львів;Зіткнення автомобілів;Інше
п'ятниця;Шевченківський;Чорновола В., просп.;наїзд на пішохода - пішохід рухався у зустрічному напрямку;Невідомо;2;49.863488;24.017851;1;0;1;0;0;2017;1;4;18;Львів;Наїзд на пішохода;Інше
понеділок;Залізничний;Любінська;наїзд на пішохода - пішохід рухався у зустрічному напрямку;перехід у невстановленому місці;2;49.821753;23.971969;1;0;0;1;0;2017;1;0;18;Львів;Наїзд на пішохода;Інше
понеділок;Галицький;Свєнціцького І.;наїзд на пішохода - на регульованому пішохідному переході;порушення правил зупинки і стоянки транспортних засобів, перехід у невстановленому місці;2;49.825041;24.036412;1;0;0;1;0;2017;1;0;9;Львів;Наїзд на пішохода;Інше
вівторок;Залізничний;Шевченка Т.;наїзд на інші види перешкод;Невідомо;2;49.845005;24.009343;1;0;1;0;0;2017;1;1;18;Львів;Наїзд на перешкоду;Інше
п'ятниця;Шевченківський;Шевченка Т.;перекидання ТЗ;Невідомо;1;49.859719;23.968563;0;0;0;1;0;2017;1;4;1;Львів;Перекидання;Інше
вівторок;Шевченківський;Липинського В.;наїзд на пішохода - на регульованому пішохідному переході;пішоходи невиконання вимог сигналів регулювання, неочікуваний вихід на проїзну частину;2;49.862887;24.030962;1;0;0;1;0;2017;1;1;19;Львів;Наїзд на пішохода;Інше
субота;Шевченківський;Мазепи І., гетьм.;зіткнення з задньою частиною ТЗ;перевищення безпечної швидкості, недодержання дистанції;3;49.871859;24.040028;2;0;1;0;0;2017;1;5;6;Львів;Зіткнення автомобілів;Перевищення швидкості
п'ятниця;Сихівський;Червоної Калини, просп.;наїзд на пішохода - пішохід рухався у зустрічному напрямку;Невідомо;2;49.794716;24.056164;1;0;1;0;0;2017;1;4;13;Львів;Наїзд на пішохода;Інше
понеділок;Сихівський;Зелена;наїзд на пішохода - пішохід рухався у зустрічному напрямку;перехід у невстановленому місці;2;49.815506;24.060976;1;0;0;1;0;2017;1;0;15;Львів;Наїзд на пішохода;Інше
субота;Франківський;Володимира Великого;зіткнення лобове;порушення правил маневрування, порушення правил проїзду перехресть;4;49.809735;24.007981;2;0;2;0;1;2017;1;5;20;Львів;Зіткнення автомобілів;Порушення маневрування
субота;Шевченківський;Мазепи І., гетьм.;наїзд на пішохода - на регульованому пішохідному переході;перевищення безпечної швидкості;2;49.870618;24.032131;1;0;0;1;0;2017;1;5;17;Львів;Наїзд на пішохода;Перевищення швидкості
понеділок;Шевченківський;Варшавська;зіткнення з задньою частиною ТЗ;порушення правил маневрування, порушення правил проїзду перехресть;2;49.862703;24.0073;1;0;1;0;0;2017;1;0;22;Львів;Зіткнення автомобілів;Порушення маневрування
неділя;Франківський;Княгині Ольги;наїзд на пішохода - на регульованому пішохідному переході;Невідомо;2;49.812526;24.000041;1;0;0;1;0;2017;1;6;13;Львів;Наїзд на пішохода;Інше
понеділок;Галицький;Стара;падіння пасажира;Невідомо;2;49.845289;24.027207;1;0;0;1;0;2017;1;0;16;Львів;Падіння пасажира;Інше
неділя;Шевченківський;Лінкольна А.;наїзд на пішохода - на регульованому пішохідному переході;Невідомо;2;49.866178;24.035168;0;0;1;1;0;2017;1;6;18;Львів;Наїзд на пішохода;Інше
неділя;Залізничний;Городоцька;наїзд на пішохода - на регульованому пішохідному переході;Невідомо;2;49.830758;23.96925;1;0;0;1;0;2017;1;6;0;Львів;Наїзд на пішохода;Інше
неділя;Залізничний;Підміська;наїзд на інші види перешкод;перевищення безпечної швидкості;1;49.824532;23.979018;0;0;1;0;0;2017;1;6;23;Львів;Наїзд на перешкоду;Перевищення швидкості
понеділок;Личаківський;Личаківська;наїзд на пішохода - пішохід рухався у зустрічному напрямку;Невідомо;2;49.839771;24.03733;1;0;1;0;0;2017;1;0;7;Львів;Наїзд на пішохода;Інше
субота;Личаківський;Личаківська;наїзд на пішохода - пішохід рухався у зустрічному напрямку;Невідомо;3;49.839878;24.039642;2;0;1;0;0;2017;1;5;12;Львів;Наїзд на пішохода;Інше
понеділок;Сихівський;Навроцького В.;наїзд на пішохода - на регульованому пішохідному переході;Невідомо;2;49.811086;24.052827;1;0;0;1;0;2017;1;0;14;Львів;Наїзд на пішохода;Інше
вівторок;Галицький;Театральна;наїзд на пішохода - пішохід рухався у зустрічному напрямку;Невідомо;2;49.844089;24.028317;1;1;0;0;0;2017;1;1;16;Львів;Наїзд на пішохода;Інше
вівторок;Шевченківський;Грінченка Б.;зіткнення бокове;перевищення безпечної швидкості, порушення правил маневрування, порушення правил проїзду перехресть;3;49.869947;24.057108;1;0;2;0;1;2017;1;1;20;Львів;Зіткнення автомобілів;Порушення маневрування
п'ятниця;Сихівський;Навроцького В.;наїзд на пішохода - на регульованому пішохідному переході;Невідомо;2;49.811072;24.052827;1;0;0;1;0;2017;1;4;21;Львів;Наїзд на пішохода;Інше
п'ятниця;Галицький;Коперника М.;наїзд на пішохода - пішохід рухався у зустрічному напрямку;Невідомо;2;49.833298;24.018774;1;0;1;0;1;2017;1;4;10;Львів;Наїзд на пішохода;Інше
п'ятниця;Залізничний;Городоцька;наїзд на пішохода - на регульованому пішохідному переході;Невідомо;2;49.830744;23.969207;1;0;0;1;0;2017;1;4;7;Львів;Наїзд на пішохода;Інше
п'ятниця;Личаківський;Римлянина П.;наїзд на пішохода - пішохід рухався у зустрічному напрямку;Невідомо;3;49.838418;24.037716;1;0;2;0;0;2017;1;4;18;Львів;Наїзд на пішохода;Інше
п'ятниця;Франківський;Горбачевського І.;наїзд на пішохода - на регульованому пішохідному переході;Невідомо;2;49.828945;24.008946;1;0;1;0;0;2017;1;4;21;Львів;Наїзд на пішохода;Інше
неділя;Сихівський;Стрийська;зіткнення з задньою частиною ТЗ;перевищення безпечної швидкості, недодержання дистанції;3;49.786879;24.014831;2;0;1;0;0;2017;1;6;15;Львів;Зіткнення автомобілів;Перевищення швидкості
неділя;Личаківський;Личаківська;наїзд на велосипедиста - велосипедист рухався у попутному напрямку;порушення правил маневрування;2;49.84074;24.046471;1;0;1;0;1;2017;1;6;20;Львів;Наїзд на велосипедиста;Порушення маневрування
неділя;Личаківський;Пасічна;зіткнення з задньою частиною ТЗ;перевищення безпечної швидкості;2;49.821982;24.075272;1;0;1;0;0;2017;1;6;20;Львів;Зіткнення автомобілів;Перевищення швидкості
субота;Галицький;Шевченка Т., просп.;зіткнення з задньою частиною ТЗ;перевищення безпечної швидкості;4;49.835972;24.032035;3;0;1;0;0;2017;1;5;16;Львів;Зіткнення автомобілів;Перевищення швидкості
п'ятниця;Личаківський;Личаківська;наїзд на дерево;Невідомо;3;49.833948;24.088554;1;0;0;2;0;2017;1;4;1;Львів;Наїзд на перешкоду;Інше
вівторок;Шевченківський;Липинського В.;зіткнення лобове;перевищення безпечної швидкості;3;49.860051;24.026821;1;0;2;0;1;2017;1;1;9;Львів;Зіткнення автомобілів;Перевищення швидкості
вівторок;Сихівський;Червоної Калини, просп.;наїзд на пішохода - пішохід рухався у зустрічному напрямку;Невідомо;2;49.797195;24.051556;0;0;1;1;0;2017;1;1;20;Львів;Наїзд на пішохода;Інше
середа;Шевченківський;Шевченка Т.;наїзд на пішохода - пішохід рухався у зустрічному напрямку;порушення правил маневрування, порушення правил проїзду пішохідних переходів;2;49.86641;23.9566;1;0;1;0;0;2017;2;2;16;Львів;Наїзд на пішохода;Порушення маневрування
четвер;Залізничний;Виговського І.;зіткнення з задньою частиною ТЗ;перевищення безпечної швидкості, недодержання дистанції;2;49.817396;23.971642;1;0;1;0;0;2017;2;3;2;Львів;Зіткнення автомобілів;Перевищення швидкості
середа;Франківський;Кульпарківська;наїзд на пішохода - пішохід рухався у зустрічному напрямку;Невідомо;2;49.811972;23.985053;1;0;1;0;1;2017;2;2;18;Львів;Наїзд на пішохода;Інше
середа;Франківський;Володимира Великого;зіткнення бокове;невиконання вимог сигналів регулювання;3;49.810158;24.002155;1;0;2;0;0;2017;2;2;16;Львів;Зіткнення автомобілів;Інше
середа;Франківський;Кульпарківська;наїзд на пішохода - пішохід рухався у зустрічному напрямку;Невідомо;2;49.809119;23.982382;1;1;0;0;1;2017;2;2;20;Львів;Наїзд на пішохода;Інше
вівторок;Личаківський;Хмельницького Б.;наїзд на пішохода - пішохід рухався у зустрічному напрямку;Невідомо;2;49.869643;24.057124;1;0;1;0;0;2017;1;1;17;Львів;Наїзд на пішохода;Інше
п'ятниця;Галицький;Свободи, просп.;наїзд на пішохода - пішохід рухався у зустрічному напрямку;Невідомо;2;49.843601;24.025941;1;1;0;0;0;2017;2;4;7;Львів;Наїзд на пішохода;Інше
п'ятниця;Шевченківський;Чорновола В., просп.;наїзд на пішохода - пішохід рухався у зустрічному напрямку;Невідомо;2;49.857008;24.021928;1;0;1;0;1;2017;2;4;9;Львів;Наїзд на пішохода;Інше
четвер;Галицький;Листопадового Чину;зіткнення лобове;порушення правил маневрування, порушення правил проїзду перехресть;3;49.841518;24.022808;1;0;2;0;1;2017;2;3;16;Львів;Зіткнення автомобілів;Порушення маневрування
субота;Галицький;Замарстинівська;наїзд на пішохода - пішохід рухався у зустрічному напрямку;Невідомо;2;49.850498;24.02674;1;0;0;1;0;2017;2;5;22;Львів;Наїзд на пішохода;Інше
неділя;Сихівський;Сихівська;наїзд на пішохода - пішохід рухався у зустрічному напрямку;Невідомо;2;49.796326;24.063658;1;0;1;0;0;2017;2;6;23;Львів;Наїзд на пішохода;Інше
неділя;Залізничний;Городоцька;зіткнення з задньою частиною ТЗ;перевищення безпечної швидкості, недодержання дистанції;3;49.830536;23.96822;2;0;1;0;1;2017;2;6;2;Львів;Зіткнення автомобілів;Перевищення швидкості
четвер;Сихівський;Червоної Калини, просп.;наїзд на пішохода - пішохід рухався у зустрічному напрямку;Невідомо;2;49.79813;24.04977;1;0;1;0;0;2017;2;3;11;Львів;Наїзд на пішохода;Інше
четвер;Залізничний;Любінська;зіткнення бокове;порушення правил маневрування, порушення правил проїзду перехресть;2;49.824058;23.977318;1;0;1;0;1;2017;2;3;15;Львів;Зіткнення автомобілів;Порушення маневрування
вівторок;Шевченківський;Клепарівська;зіткнення лобове;керування транспортним засобом у нетверезому стані, перевищення безпечної швидкості;4;49.850626;24.015067;1;0;2;1;0;2017;2;1;0;Львів;Зіткнення автомобілів;Перевищення швидкості
вівторок;Франківський;Кульпарківська;наїзд на пішохода - пішохід рухався у зустрічному напрямку;Невідомо;2;49.821414;23.988637;1;0;1;0;1;2017;2;1;8;Львів;Наїзд на пішохода;Інше
четвер;Франківський;Горбачевського І.;наїзд на пішохода - пішохід рухався у зустрічному напрямку;Невідомо;2;49.827291;24.011028;1;0;1;0;1;2017;2;3;10;Львів;Наїзд на пішохода;Інше
п'ятниця;Шевченківський;Липинського В.;наїзд на інші види перешкод;перевищення безпечної швидкості;2;49.863087;24.031965;1;0;1;0;0;2017;2;4;20;Львів;Наїзд на перешкоду;Перевищення швидкості
субота;Сихівський;Зубрівська;зіткнення бокове;порушення правил проїзду перехресть;2;49.795322;24.059871;1;0;1;0;0;2017;2;5;11;Львів;Зіткнення автомобілів;Порушення проїзду перехресть
середа;Галицький;Вітовського Д.;наїзд на пішохода - пішохід рухався у зустрічному напрямку;Невідомо;2;49.830135;24.02394;1;0;1;0;0;2017;2;2;9;Львів;Наїзд на пішохода;Інше
п'ятниця;Залізничний;Левандівська;наїзд на пішохода - пішохід рухався у зустрічному напрямку;порушення правил проїзду пішохідних переходів;2;49.844632;23.984324;1;0;1;0;0;2017;2;4;20;Львів;Наїзд на пішохода;Порушення проїзду переходів
четвер;Сихівський;Луганська;наїзд на пішохода - пішохід рухався у зустрічному напрямку;перевищення безпечної швидкості, порушення правил маневрування, управління несправним транспортним засобом;2;49.806987;24.059179;1;0;1;0;0;2017;2;3;7;Львів;Наїзд на пішохода;Порушення маневрування
середа;Сихівський;Червоної Калини, просп.;наїзд на пішохода - пішохід рухався у зустрічному напрямку;Невідомо;2;49.799577;24.047881;1;0;1;0;0;2017;1;2;20;Львів;Наїзд на пішохода;Інше
вівторок;Галицький;Бандери С.;наїзд на пішохода - на нерегульованому пішохідному переході;Невідомо;2;49.834716;24.019418;1;0;0;1;0;2017;2;1;8;Львів;Наїзд на пішохода;Інше
неділя;Личаківський;Кривчицька Дорога;наїзд на інші види перешкод;перевищення безпечної швидкості;2;49.840051;24.066705;0;0;0;2;0;2017;2;6;3;Львів;Наїзд на перешкоду;Перевищення швидкості
четвер;Залізничний;Городоцька;зіткнення з задньою частиною ТЗ;Невідомо;3;49.830786;23.969529;1;0;0;2;0;2017;2;3;22;Львів;Зіткнення автомобілів;Інше
неділя;Залізничний;Городоцька;наїзд на пішохода - пішохід рухався у зустрічному напрямку;Невідомо;2;49.829865;23.964003;1;0;0;1;0;2017;1;6;5;Львів;Наїзд на пішохода;Інше
вівторок;Галицький;Куліша П.;зіткнення з задньою частиною ТЗ;перевищення безпечної швидкості, недодержання дистанції;4;49.84771;24.024251;3;0;1;0;0;2017;2;1;23;Львів;Зіткнення автомобілів;Перевищення швидкості
вівторок;Шевченківський;Клепарівська;наїзд на пішохода - пішохід рухався у зустрічному напрямку;перевищення безпечної швидкості;2;49.849883;24.015073;1;0;1;0;0;2017;1;1;9;Львів;Наїзд на пішохода;Перевищення швидкості
четвер;Галицький;Зелена;падіння пасажира;Невідомо;2;49.82511;24.048901;1;0;1;0;0;2017;1;3;15;Львів;Падіння пасажира;Інше
субота;Залізничний;Городоцька;зіткнення бокове;Невідомо;4;49.821106;23.916308;2;0;2;0;0;2017;2;5;18;Львів;Зіткнення автомобілів;Інше
середа;Галицький;Беринди П.;наїзд на інші види перешкод;перевищення безпечної швидкості;1;49.840909;24.029814;0;0;0;1;1;2017;2;2;10;Львів;Наїзд на перешкоду;Перевищення швидкості
вівторок;Франківський;Кульпарківська;зіткнення з задньою частиною ТЗ;Невідомо;4;49.817219;23.986931;2;0;0;2;0;2017;2;1;14;Львів;Зіткнення автомобілів;Інше
понеділок;Сихівський;Драгана М.;наїзд на пішохода - пішохід рухався у зустрічному напрямку;порушення правил маневрування;2;49.784884;24.056652;1;0;1;0;0;2017;2;0;16;Львів;Наїзд на пішохода;Порушення маневрування
понеділок;Франківський;Володимира Великого;наїзд на пішохода - пішохід рухався у зустрічному напрямку;Невідомо;2;49.80825;24.016939;1;0;1;0;0;2017;2;0;12;Львів;Наїзд на пішохода;Інше
середа;Сихівський;Пимоненка М.;наїзд на інші види перешкод;перевищення безпечної швидкості;2;49.809119;24.070873;1;0;1;0;0;2017;2;2;5;Львів;Наїзд на перешкоду;Перевищення швидкості
середа;Шевченківський;Панча П.;наїзд на пішохода - пішохід рухався у зустрічному напрямку;Невідомо;2;49.861344;24.015335;1;1;0;0;0;2017;2;2;18;Львів;Наїзд на пішохода;Інше
середа;Франківський;Кульпарківська;зіткнення лобове;Невідомо;2;49.833457;23.990782;1;0;1;0;0;2017;2;2;9;Львів;Зіткнення автомобілів;Інше
середа;Сихівський;Зелена;наїзд на пішохода - пішохід рухався у зустрічному напрямку;Невідомо;2;49.806547;24.061309;1;0;1;0;0;2017;2;2;16;Львів;Наїзд на пішохода;Інше
неділя;Галицький;Франка І.;наїзд на пішохода - пішохід рухався у зустрічному напрямку;Невідомо;2;49.832523;24.033757;1;0;1;0;0;2017;2;6;14;Львів;Наїзд на пішохода;Інше
субота;Шевченківський;Клепарівська;зіткнення бокове;невиконання вимог сигналів регулювання;2;49.84431;24.016537;1;0;1;0;1;2017;2;5;16;Львів;Зіткнення автомобілів;Інше
вівторок;Сихівський;Стрийська;наїзд на пішохода - пішохід рухався у зустрічному напрямку;порушення правил проїзду пішохідних переходів;2;49.792891;24.016156;1;0;1;0;0;2017;2;1;21;Львів;Наїзд на пішохода;Порушення проїзду переходів
вівторок;Сихівський;Червоної Калини, просп.;наїзд на пішохода - пішохід рухався у зустрічному напрямку;порушення правил проїзду пішохідних переходів;2;49.796246;24.054115;1;0;1;0;0;2017;2;1;7;Львів;Наїзд на пішохода;Порушення проїзду переходів
вівторок;Франківський;Кульпарківська;зіткнення бокове;невиконання вимог сигналів регулювання, порушення правил маневрування, порушення правил проїзду перехресть;3;49.814969;23.985665;2;0;1;0;1;2017;2;1;16;Львів;Зіткнення автомобілів;Порушення маневрування
четвер;Франківський;Київська;наїзд на пішохода - пішохід рухався у зустрічному напрямку;Невідомо;2;49.833087;24.009622;1;0;1;0;0;2017;2;3;17;Львів;Наїзд на пішохода;Інше
неділя;Сихівський;Хоткевича Г.;наїзд на інші види перешкод;керування транспортним засобом у нетверезому стані, перевищення безпечної швидкості;2;49.794844;24.047559;1;0;1;0;0;2017;2;6;18;Львів;Наїзд на перешкоду;Перевищення швидкості
вівторок;Франківський;Рубчака І.;наїзд на пішохода - пішохід рухався у зустрічному напрямку;неочікуваний вихід на проїзну частину;2;49.806187;24.010824;1;0;1;0;0;2017;2;1;18;Львів;Наїзд на пішохода;Інше
середа;Франківський;Наукова;наїзд на пішохода - пішохід рухався у зустрічному напрямку;Невідомо;2;49.805221;23.98662;1;1;0;0;1;2017;2;2;20;Львів;Наїзд на пішохода;Інше
четвер;Галицький;Городоцька;наїзд на пішохода - пішохід рухався у зустрічному напрямку;Невідомо;2;49.838688;24.008276;1;0;0;1;0;2017;2;3;22;Львів;Наїзд на пішохода;Інше
п'ятниця;Сихівський;Зелена;наїзд на пішохода - пішохід рухався у зустрічному напрямку;Невідомо;2;49.796821;24.072633;1;0;1;0;0;2017;2;4;14;Львів;Наїзд на пішохода;Інше
п'ятниця;Залізничний;Городоцька;наїзд на пішохода - пішохід рухався у зустрічному напрямку;Невідомо;2;49.830128;23.965205;1;0;1;0;0;2017;2;4;13;Львів;Наїзд на пішохода;Інше
середа;Галицький;Святого Теодора, пл.;наїзд на пішохода - пішохід рухався у зустрічному напрямку;Невідомо;2;49.847185;24.028527;1;0;1;0;1;2017;2;2;9;Львів;Наїзд на пішохода;Інше
понеділок;Франківський;Кульпарківська;зіткнення з задньою частиною ТЗ;керування транспортним засобом у нетверезому стані, недодержання дистанції;2;49.817025;23.986824;1;0;1;0;0;2017;2;0;16;Львів;Зіткнення автомобілів;Недотримання дистанції
понеділок;Галицький;Драгоманова М.;наїзд на пішохода - на регульованому пішохідному переході;Невідомо;2;49.835042;24.031799;1;0;1;0;1;2017;2;0;16;Львів;Наїзд на пішохода;Інше
субота;Франківський;Стрийська;зіткнення з задньою частиною ТЗ;перевищення безпечної швидкості, порушення правил маневрування, недодержання дистанції;4;49.819511;24.020233;3;0;1;0;0;2017;3;5;23;Львів;Зіткнення автомобілів;Порушення маневрування
субота;Залізничний;Двірцева, пл.;наїзд на пішохода - пішохід рухався у зустрічному напрямку;Невідомо;2;49.839654;23.99464;1;0;1;0;0;2017;3;5;13;Львів;Наїзд на пішохода;Інше
четвер;Личаківський;Глинянський Тракт;падіння пасажира;порушення правил перевезення пасажирів, порушення правил маневрування;2;49.840889;24.093962;1;0;1;0;0;2017;3;3;19;Львів;Падіння пасажира;Порушення маневрування
четвер;Шевченківський;Липинського В.;наїзд на пішохода - пішохід рухався у зустрічному напрямку;Невідомо;2;49.857627;24.023355;1;0;1;0;0;2017;2;3;23;Львів;Наїзд на пішохода;Інше
четвер;Галицький;Соборна, пл.;наїзд на пішохода - на нерегульованому пішохідному переході;Невідомо;2;49.839034;24.034631;1;0;0;1;0;2017;3;3;22;Львів;Наїзд на пішохода;Інше
четвер;Шевченківський;Грінченка Б.;падіння пасажира;Невідомо;2;49.870756;24.05508;1;0;1;0;0;2017;2;3;15;Львів;Падіння пасажира;Інше
субота;Сихівський;Кавалерідзе І.;падіння пасажира;Невідомо;2;49.792479;24.065793;1;0;1;0;0;2017;2;5;21;Львів;Падіння пасажира;Інше
четвер;Галицький;Городоцька;наїзд на пішохода - на нерегульованому пішохідному переході;Невідомо;2;49.844168;24.024675;1;0;1;0;0;2017;2;3;21;Львів;Наїзд на пішохода;Інше
вівторок;Сихівський;Зелена;наїзд на пішохода - на нерегульованому пішохідному переході;Невідомо;2;49.799813;24.06847;1;0;1;0;0;2017;2;1;9;Львів;Наїзд на пішохода;Інше
середа;Шевченківський;Джерельна;наїзд на пішохода - пішохід рухався у попутному напрямку;Невідомо;2;49.851456;24.019434;1;0;1;0;1;2017;3;2;19;Львів;Наїзд на пішохода;Інше
понеділок;Галицький;Ринок, пл.;наїзд на інші види перешкод;Невідомо;2;49.841221;24.030833;1;0;1;0;0;2017;2;0;12;Львів;Наїзд на перешкоду;Інше
понеділок;Шевченківський;Чорновола В., просп.;падіння пасажира;Невідомо;2;49.85543;24.022272;1;0;1;0;0;2017;2;0;14;Львів;Падіння пасажира;Інше
середа;Шевченківський;Брюховицька;наїзд на пішохода - пішохід переходив дорогу поза межами пішохідного переходу;Невідомо;2;49.871545;23.956461;1;0;0;1;0;2017;2;2;14;Львів;Наїзд на пішохода;Інше
вівторок;Галицький;Свободи, просп.;наїзд на пішохода - пішохід рухався у зустрічному напрямку;Невідомо;2;49.843317;24.027105;1;0;1;0;0;2017;2;1;19;Львів;Наїзд на пішохода;Інше
середа;Шевченківський;Єрошенка В.;наїзд на пішохода - на нерегульованому пішохідному переході;Невідомо;2;49.855085;24.003046;1;0;0;1;0;2017;3;2;20;Львів;Наїзд на пішохода;Інше
четвер;Залізничний;Виговського І.;наїзд на пішохода - на нерегульованому пішохідному переході;Невідомо;2;49.821262;23.968477;0;0;2;0;0;2017;3;3;21;Львів;Наїзд на пішохода;Інше
вівторок;Франківський;Сахарова А., акад.;наїзд на пішохода - пішохід рухався у зустрічному напрямку;Невідомо;2;49.822535;24.01547;1;0;0;1;0;2017;3;1;19;Львів;Наїзд на пішохода;Інше
вівторок;Галицький;Куліша П.;наїзд на пішохода - пішохід рухався у зустрічному напрямку;Невідомо;2;49.845832;24.024058;1;0;1;0;0;2017;3;1;22;Львів;Наїзд на пішохода;Інше
вівторок;Галицький;Городоцька;наїзд на пішохода - пішохід рухався у зустрічному напрямку;Невідомо;2;49.838079;24.006736;1;0;0;1;0;2017;3;1;15;Львів;Наїзд на пішохода;Інше
понеділок;Сихівський;Червоної Калини, просп.;наїзд на пішохода - пішохід рухався у зустрічному напрямку;Невідомо;2;49.796413;24.053798;1;0;1;0;0;2017;3;0;18;Львів;Наїзд на пішохода;Інше
вівторок;Галицький;Під Дубом;зіткнення бокове;Невідомо;3;49.850457;24.024455;2;0;1;0;1;2017;3;1;23;Львів;Зіткнення автомобілів;Інше
субота;Галицький;Зелена;наїзд на пішохода - на нерегульованому пішохідному переході;Невідомо;2;49.824584;24.04978;1;0;0;1;0;2017;3;5;20;Львів;Наїзд на пішохода;Інше
середа;Шевченківський;Тичини П.;зіткнення бокове;порушення правил маневрування, порушення правил проїзду перехресть;3;49.867727;24.034352;0;0;0;3;0;2017;3;2;23;Львів;Зіткнення автомобілів;Порушення маневрування
вівторок;Залізничний;Широка;наїзд на пішохода - пішохід рухався у зустрічному напрямку;перевищення безпечної швидкості, недодержання дистанції;3;49.841954;23.968681;1;0;2;0;0;2017;3;1;20;Львів;Наїзд на пішохода;Перевищення швидкості
четвер;Шевченківський;Липинського В.;наїзд на пішохода - пішохід рухався у зустрічному напрямку;невиконання вимог сигналів регулювання;2;49.86364;24.033585;1;0;1;0;0;2017;3;3;17;Львів;Наїзд на пішохода;Інше
вівторок;Залізничний;Кульпарківська;зіткнення з задньою частиною ТЗ;перевищення безпечної швидкості, недодержання дистанції;2;49.814727;23.983905;1;0;1;0;0;2017;3;1;17;Львів;Зіткнення автомобілів;Перевищення швидкості
середа;Личаківський;Хмельницького Б.;наїзд на пішохода - пішохід рухався у зустрічному напрямку;Невідомо;1;49.861486;24.052194;0;1;0;0;0;2017;3;2;19;Львів;Наїзд на пішохода;Інше
понеділок;Франківський;Княгині Ольги;зіткнення з задньою частиною ТЗ;порушення правил проїзду перехресть;3;49.822293;24.006608;1;0;2;0;0;2017;3;0;22;Львів;Зіткнення автомобілів;Порушення проїзду перехресть
середа;Личаківський;Кордуби М.;наїзд на інші види перешкод;Невідомо;5;49.850882;24.048042;0;0;2;3;0;2017;3;2;21;Львів;Наїзд на перешкоду;Інше
середа;Сихівський;Стрийська;зіткнення з задньою частиною ТЗ;перевищення безпечної швидкості;3;49.798487;24.017326;1;0;2;0;0;2017;3;2;21;Львів;Зіткнення автомобілів;Перевищення швидкості
